1.0 C n79 M1
20999.899999974903 CONN n223 n207 up
21000.999999974887 CONN n213 n372 down
21002.599999974864 CONN n349 n377 up
21005.799999974817 CONN n207 n196 down
21007.499999974792 CONN n280 n268 down
21007.799999974788 CONN n128 n268 down
21010.99999997474 CONN n261 n134 down
21014.099999974696 CONN n208 n178 up
21018.899999974627 CONN n322 n150 up
21019.199999974622 CONN n210 n153 up
21019.699999974615 CONN n210 n230 up
21022.499999974574 CONN n150 n196 up
21023.49999997456 CONN n158 n215 up
21024.599999974544 CONN n148 n262 down
21025.299999974533 CONN n320 n318 up
21027.099999974507 CONN n217 n158 down
21028.499999974487 CONN n215 n178 down
21029.499999974472 CONN n216 n343 down
21035.89999997438 CONN n185 n200 up
21036.099999974376 CONN n373 n74 up
21036.59999997437 CONN n320 n318 down
21040.199999974317 CONN n349 n377 down
21041.499999974298 CONN n196 n322 up
21043.099999974274 CONN n402 n213 up
