1.0 C n153 M1
22127.69999995849 CONN n226 n432 down
22128.49999995848 CONN n432 n226 up
22129.09999995847 CONN n275 n246 up
22129.299999958468 CONN n175 n301 up
22130.199999958455 CONN n432 n152 up
22130.699999958448 CONN n287 n233 up
22134.799999958388 CONN n131 n452 up
22134.999999958385 CONN n175 n301 down
22135.899999958372 CONN n440 n213 down
22137.699999958346 CONN n432 n226 down
22137.99999995834 CONN n233 n287 down
22138.09999995834 CONN n152 n432 down
22138.19999995834 CONN n275 n246 down
22138.19999995834 CONN n193 n244 up
22139.59999995832 CONN n58 n230 up
22139.799999958315 CONN n402 n415 up
22140.8999999583 CONN n452 n131 down
22142.29999995828 CONN n193 n440 up
22143.59999995826 CONN n415 n402 down
22143.799999958257 CONN n440 n244 up
22147.5999999582 CONN n244 n193 down
22147.5999999582 CONN n193 n213 up
22148.899999958183 CONN n440 n193 down
22152.399999958132 CONN n58 n230 down
22152.999999958123 CONN n226 n152 down
22153.89999995811 CONN n184 n221 up
22154.899999958096 CONN n460 n230 up
22155.599999958085 CONN n453 n261 up
22157.499999958058 CONN n213 n193 down
22160.599999958013 CONN n261 n453 down
22163.099999957976 CONN n184 n221 down
22163.199999957975 CONN n460 n230 down
22164.99999995795 CONN n440 n244 down
22169.399999957885 CONN n296 n178 up
22169.999999957876 CONN n180 n58 up
22177.499999957767 CONN n128 n280 up
22178.399999957754 CONN n443 n336 up
22178.899999957746 CONN n180 n58 down
22178.899999957746 CONN n128 n280 down
22183.199999957684 CONN n336 n443 down
22183.999999957672 CONN n178 n296 down
22188.099999957612 CONN n211 n455 up
22191.899999957557 CONN n211 n455 down
22193.09999995754 CONN n424 n263 up
22195.699999957502 CONN n263 n424 down
22203.099999957394 CONN n120 n371 up
22215.499999957214 CONN n193 n498 up
22215.69999995721 CONN n180 n230 up
22220.49999995714 CONN n120 n371 down
22220.699999957138 CONN n392 n208 up
22223.3999999571 CONN n193 n498 down
22226.09999995706 CONN n343 n207 up
22227.699999957036 CONN n207 n343 down
22228.09999995703 CONN n181 n203 up
22228.69999995702 CONN n392 n208 down
22240.999999956843 CONN n156 n58 up
22242.199999956825 CONN n145 n42 up
22242.59999995682 CONN n440 n230 up
22244.49999995679 CONN n145 n42 down
22247.099999956754 CONN n460 n263 up
22247.39999995675 CONN n388 n78 up
22247.599999956747 CONN n230 n180 down
22247.899999956742 CONN n203 n181 down
22247.899999956742 CONN n440 n230 down
22250.999999956697 CONN n58 n156 down
22251.299999956693 CONN n388 n78 down
22260.899999956553 CONN n263 n460 down
22269.599999956426 CONN n365 n59 up
22270.79999995641 CONN n180 n244 up
22274.999999956348 CONN n134 n453 up
22277.099999956317 CONN n365 n59 down
22277.299999956314 CONN n473 n405 up
22280.39999995627 CONN n134 n453 down
22284.699999956207 CONN n405 n473 down
22287.79999995616 CONN n180 n244 down
22291.499999956108 CONN n230 n244 up
22292.79999995609 CONN n181 n203 up
22311.099999955823 CONN n244 n230 down
22313.099999955793 CONN n263 n440 up
22316.499999955744 CONN n213 n180 up
22317.299999955732 CONN n433 n452 up
22317.49999995573 CONN n323 n14 up
22318.499999955715 CONN n452 n433 down
22322.099999955662 CONN n170 n460 up
22326.3999999556 CONN n343 n221 up
22327.19999995559 CONN n440 n263 down
22329.999999955548 CONN n432 n329 up
22330.299999955543 CONN n353 n392 up
22333.699999955494 CONN n343 n221 down
22334.69999995548 CONN n203 n181 down
22335.499999955468 CONN n170 n460 down
22335.799999955463 CONN n180 n213 down
22337.099999955444 CONN n275 n131 up
22339.49999995541 CONN n328 n334 up
22339.899999955403 CONN n14 n323 down
22340.699999955392 CONN n343 n207 up
22341.099999955386 CONN n275 n131 down
22341.59999995538 CONN n203 n181 up
22342.29999995537 CONN n359 n336 up
22348.49999995528 CONN n213 n230 up
22349.599999955262 CONN n359 n336 down
22349.599999955262 CONN n353 n392 down
22350.599999955248 CONN n343 n207 down
22355.19999995518 CONN n203 n181 down
22356.899999955156 CONN n334 n328 down
22360.899999955098 CONN n329 n432 down
22369.09999995498 CONN n207 n343 up
22369.69999995497 CONN n334 n226 up
22370.99999995495 CONN n334 n328 up
22372.699999954926 CONN n230 n213 down
22380.499999954813 CONN n328 n226 up
22384.79999995475 CONN n226 n328 down
22385.39999995474 CONN n504 n176 up
22385.59999995474 CONN n207 n343 down
22387.699999954708 CONN n301 n292 up
22388.2999999547 CONN n371 n405 up
22392.699999954635 CONN n329 n226 up
22392.99999995463 CONN n334 n226 down
22395.0999999546 CONN n405 n371 down
22395.69999995459 CONN n180 n205 up
22396.299999954583 CONN n360 n193 up
22396.49999995458 CONN n78 n58 up
22399.89999995453 CONN n440 n170 up
22401.8999999545 CONN n263 n181 up
22401.8999999545 CONN n334 n329 up
22402.199999954497 CONN n328 n329 up
22402.499999954493 CONN n203 n498 up
22402.69999995449 CONN n301 n292 down
22402.69999995449 CONN n329 n226 down
22403.99999995447 CONN n181 n263 down
22404.599999954462 CONN n193 n360 down
22405.39999995445 CONN n244 n156 up
22405.799999954445 CONN n301 n292 up
22406.79999995443 CONN n176 n504 down
22407.899999954414 CONN n292 n301 down
22408.19999995441 CONN n328 n329 down
22408.299999954408 CONN n360 n319 up
22408.399999954407 CONN n263 n213 up
22408.7999999544 CONN n205 n180 down
22409.199999954395 CONN n334 n329 down
22410.099999954382 CONN n78 n58 down
22413.799999954328 CONN n263 n213 down
22413.999999954325 CONN n386 n443 up
22416.39999995429 CONN n170 n440 down
22418.099999954266 CONN n386 n443 down
22420.099999954236 CONN n468 n150 up
22422.6999999542 CONN n274 n429 up
22423.19999995419 CONN n156 n244 down
22424.69999995417 CONN n274 n429 down
22427.199999954133 CONN n468 n150 down
22433.299999954044 CONN n453 n473 up
22433.49999995404 CONN n205 n230 up
22437.499999953983 CONN n263 n205 up
22439.599999953953 CONN n319 n360 down
22439.69999995395 CONN n453 n473 down
22439.79999995395 CONN n205 n230 down
22443.99999995389 CONN n205 n263 down
22445.799999953862 CONN n230 n263 up
22449.599999953807 CONN n498 n203 down
22451.599999953778 CONN n114 n66 up
22457.199999953697 CONN n132 n323 up
22466.999999953554 CONN n66 n114 down
22467.799999953542 CONN n323 n132 down
22469.499999953518 CONN n156 n213 up
22473.199999953464 CONN n176 n268 up
22479.899999953366 CONN n193 n320 up
22481.499999953343 CONN n465 n63 up
22483.899999953308 CONN n156 n213 down
22492.69999995318 CONN n176 n268 down
22495.199999953144 CONN n127 n482 up
22500.599999953065 CONN n320 n193 down
22507.399999952966 CONN n482 n127 down
22507.499999952965 CONN n170 n353 up
22508.699999952947 CONN n301 n182 up
22512.299999952895 CONN n244 n78 up
22513.19999995288 CONN n343 n221 up
22516.09999995284 CONN n180 n465 up
22516.399999952835 CONN n301 n182 down
22517.39999995282 CONN n399 n460 up
22517.799999952815 CONN n453 n371 up
22519.59999995279 CONN n460 n399 down
22520.499999952775 CONN n353 n170 down
22521.299999952764 CONN n447 n221 up
22521.699999952758 CONN n78 n244 down
22521.799999952756 CONN n221 n343 down
22523.099999952738 CONN n371 n453 down
22523.799999952727 CONN n343 n447 up
22524.29999995272 CONN n180 n63 up
22524.699999952714 CONN n447 n221 down
22526.199999952692 CONN n181 n317 up
22526.199999952692 CONN n170 n544 up
22526.199999952692 CONN n334 n328 down
22527.199999952678 CONN n263 n230 down
22529.399999952646 CONN n447 n343 down
22529.399999952646 CONN n205 n156 up
22529.69999995264 CONN n465 n63 down
22532.5999999526 CONN n263 n465 up
22534.099999952577 CONN n180 n465 down
22537.599999952527 CONN n156 n205 down
22538.499999952513 CONN n63 n263 up
22540.69999995248 CONN n465 n263 down
22541.799999952465 CONN n544 n205 up
22541.799999952465 CONN n230 n465 up
22542.999999952448 CONN n180 n263 up
22543.59999995244 CONN n181 n317 down
22545.199999952416 CONN n180 n63 down
22545.199999952416 CONN n544 n170 down
22546.499999952397 CONN n63 n263 down
22547.899999952377 CONN n213 n78 up
22548.499999952368 CONN n156 n544 up
22549.199999952358 CONN n205 n544 down
22552.199999952314 CONN n63 n230 up
22552.999999952302 CONN n402 n482 up
22556.399999952253 CONN n263 n180 down
22556.49999995225 CONN n170 n544 up
22557.599999952236 CONN n465 n230 down
22559.899999952202 CONN n213 n78 down
22560.299999952196 CONN n490 n292 up
22560.399999952195 CONN n263 n319 up
22562.69999995216 CONN n170 n156 up
22563.699999952147 CONN n319 n180 up
22563.699999952147 CONN n402 n482 down
22565.099999952126 CONN n319 n263 down
22567.099999952097 CONN n402 n127 up
